ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT053,вуая вуэӈханна сӯгкэ вэ̄ннсэнҍ раст Луявьр,,wuaj-a wuəŋ-xanːa suːgː-ə wəːnːs-ənʲ rast ɫujaːwʲrʲ,can-PRS.1SG rest-ABE.PTCP row-INF boat-COM.SG across Lovozero,I can row a boat across Lovozero without resting,UCKSPT:Bolshakova2003_txt21_78
UT054,,,təjd kʲiːɫːt sɒːm-etʲ pɨht-əʃʲ ʧuʣʲjaːwːr-a,this.ACC.PL Kildin Saami-ACC.PL bring-PST.IPS Chudz'javv'r-DAT.SG,These Kildin Sami were brought to Chudz'javv'r,Ilya Egorov (p.c. 2024)
UT055,tɛdD mа̄n por'r'ei akɛnč kɛbšɛškude,,təːdː maːn poːrʲː-ej ak-əɲʧ kəbʃ-əʃkuːd-ə,this.NOM.SG moon.ACC.SG eat-AG.PTCP old.woman-DIM.NOM.SG be.ill-INCH-PST.3SG,This old woman who ate this moon became ill,Kert 1961:166-167
UT056-1,cōнн сāрнэ ныдтҍ са кулсэм райя ёррэм мӯр кыдцрэмуж.,,soːnː saːrn-ə nɨdʲː sa kuɫ-s-əm rajja jorr-əm muːr kɨʦːr-əmuʒ,3SG.NOM speek-PST.3SG so until hear-PTCP until fall-PTCP tree.GEN.SG crunch-NMLZ.ACC.SG,He repeated this until he heard the sound of a falling tree,UCKSPT:Bolshakova2003_txt21_55
UT056-2,kɛsk kurrɛm ćigarka,,kəsk kurː-əm ʦiːgarka,halfway smoke-PTCP cigar.NOM.SG,a cigar which had been smoked down to half of its size,Kert 1971:207
UT056-3,туаррэм оāкшэтҍ тāххктэнҍ.,,tuarː-əm ɒːkʃ-ətʲ taːhkt-ənʲ,fight-PTCP axe-ACC.PL sharpen-PST.3PL,The battle axes have been sharpened.,UCKSPT:YuryevYuryeva2017_txt3_17
UT058-1,адтҍ по̄рханна ебпе лӣннче,,adʲː poːr-xanːa jebʲːe lʲiː-ɲːʧe,now eat‑V.ABE NEG.1PL be‑FUT.CNG,We won’t be hungry anymore,Burov and Egorov 2023:172
UT058-2,нӣйтэнч ōнӭ тэнн ēммьнесьт кулханна нэ̄м,,nʲiːjt-əɲʧ oːnʲ-e tənː jeːmʲːɲe-sʲtʲ kuɫ-xanːa nəːm,girl-DIM.NOM.SG bear-PST.3SG this.GEN.SG land-LOC.SG hear-V.ABE name.ACC.SG,The girl had a name unheard of in this land,UCKSPT:Bolshakova2003_txt28_12
UT058-3,pɛznah'tɛm pas'tɛm,,pəz-nahtʲem pasʲtʲemʲ,wash-ABE.PTCP spoon.NOM.SG,unwashed spoon,Kert 1971:204
UT063-1,,,kuːlʲ ʧaːlʲ-em nɨjːpʲ,fisch.GEN.SG cut-PTCP cut.NOM.SG,fish cutting knife,Daniil Burov (p.c. 2024)
