ID,Name,Finnish,Source,Example,Comment
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,"Hakulinen et al. 2004: § 2, 15-25",,
UT135,Is there a high front rounded vowel /y/?,1,Hakulinen et al. 2004: § 2;  Karlsson 2018: 15-16,UT135,
UT136,Is there a mid-high front rounded vowel /ø/?,1,Hakulinen et al. 2004: § 2; Karlsson 2018: 15-16,UT136,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Hakulinen et al. 2004: § 2; Karlsson 2018: 15-16,,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Hakulinen et al. 2004: § 2; Karlsson 2018: 15-16,,
UT139,Is there a low back rounded vowel /ɒ/?,0,Hakulinen et al. 2004: § 2; Karlsson 2018: 15-16,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Hakulinen et al. 2004: § 2; Karlsson 2018: 15-16,"UT140-1, UT140-2",
UT141,Are there word-initial consonant clusters?,1,Hakulinen et al. 2004: § 30,"UT141-1, UT141-2",
UT142,Are there word-internal consonant clusters in the syllable onset?,0,"Hakulinen et al. 2004: § 11, 30",,"Only in new loanwords e.g., eks-tra 'extra'."
UT143,Are there consonant clusters in the syllable coda?,1,Hakulinen et al. 2004: § 30,UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Hakulinen et al. 2004: § 32,UT144,
UT145,Are there word-final clusters of three or more consonants?,0,Hakulinen et al. 2004: § 30,,
UT146,Are there palatalized alveolar consonants?,0,Hakulinen et al. 2004: § 1-10,,"To some extent in the Eastern Finnish dialects (Hakulinen et al. 2004: § 37, 113)."
UT147,Are there palatalized labial and velar consonants?,0,Hakulinen et al. 2004: § 1-10,,
UT148,Is there a palatal stop?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT149,Is there a palatal nasal /ɲ/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT150,Is there a palatal lateral /ʎ/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT151,Is there a velar nasal /ŋ/?,1,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,UT151,
UT152,Is there an alveolar affricate /t͡s/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,"UT155-1, UT155-2",b and g appear only in new loan words.
UT156,Is there a glottal stop /ʔ/?,0,"Hakulinen et al. 2004: § 3, 34-36",,"Found in some contexts (word border), not as a phoneme."
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Hakulinen et al. 2004:in passim,,
UT159,Is there a laryngeal fricative /h/?,1,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,UT159,
UT160,Is there a voiced velar fricative /ɣ/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT161,Is there a voiceless velar fricative /x/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT162,Is there a voiced dental fricative /ð/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT163,Is there a labio-velar approximant /w/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,
UT164,Is there a voiceless labiodental fricative /f/?,0,Hakulinen et al. 2004: § 3; Karlsson 2018: 15-16,,f appears in some dialects and new loanwords.
UT165,Is there radical qualitative consonant gradation?,1,Karlsson 2018: 50,"UT165-1, UT165-2",
UT166,Is there quantitative consonant gradation?,1,Karlsson 2018: 50-51,"UT166-1, UT166-2",
