ID,Name,Meadow.Mari,Source,Example,Comment
UT091,Are there two sets of local cases?,0,Saarinen 2022:437-443,,"The three postpositions - деке [deke] ‘to’ (Riese et al. 2019:169-170), дене [dene] ‘with’ (Riese et al. 2019:170-172), деч [det͡ɕ] ‘from’ (Riese et al. 2019:172-174) - used similar to external local cases in Finnic languages could be said to be de-facto cases for which the morphologization is complete; it is only description tradition and orthography that justifies its classification as a postposition rather than a case suffix (Riese et al. 2019:163-164)."
UT092,Are there three or more sets of local cases?,0,Saarinen 2022:437-443,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,0,Riese et al. 2019:170-172,,The postposition дене [dene] ‘with’ could be said to be a de-facto case for which the morphologization is complete; it is only description tradition and orthography that justifies its classification as a postposition rather than a case suffix (Riese et al. 2019:163-164). NB! The so-called comitative case mentioned in Mari grammars and textbooks has a radically different function.
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Saarinen 2022:437-443,,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,0,Saarinen 2022:437-443,,
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Saarinen 2022:437-443,,
UT097,Is there a dedicated case that expresses equativity?,1,Riese et al. 2019:91-93,UT097,"“The comparative case is used to express similarity, likeness and can usually be translated into English as ‘like something/someone’, ‘as something/someone’. The object/person with which a noun in the comparative is compared can be used in varying syntactic functions in the sentence: subject, object, etc.”."
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Riese et al. 2019:294,,The dative is used to mark benefactors.
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Jeremy Bradley (p.c. 2020),,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,1,Riese et al. 2019:56; Riese et al. 2014,"UT100-1, UT100-2",
UT101,Can the marking of the possessor in the attributive construction vary?,0,Riese et al. 2019:61-68,,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Riese et al. 2019:61-68,,"It should be noted that inanimate nouns traditionally did not occur in the genitive at all; inanimate nouns serving as a modification do occur in the nominative (Riese et al. 2019:61-68), e.g. Вена университет [Venɑ universitet] (Vienna.NOM university) University of Vienna’ (see www.mari-language.com)."
UT204,Are singular and plural possessee distinguished in the possessive declension? ,0,Riese et al. 2017:516,,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,1,Riese et al. 2017:125,UT104,"“Like the possessive suffix third person singular […] this possessive suffix can beused as a determining element, though its usage is more typical of folklore texts” (Riese et al. 2017:125)."
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,1,Riese et al. 2017:125,UT105,The possessive suffix is used to indicate a rreference to something previously discussed or otherwise salient to the conversation. It is especially commonly used to refer to a subset of a larger whole that is salient.
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Riese et al. 2019:148,"UT106-1, UT106-2",
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Riese et al. 2014,,
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Riese et al. 2014,,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Riese et al. 2017:333; Riese et al. 2014,"UT109-1, UT109-2",
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",1,Riese et al. 2017:516,"UT110-1, UT110-2",The “degrees of freedom” depend on the case.
UT205,Are case and number marked cumulatively across the paradigm?,1,Riese et al. 2017:516,,There are no indications which would show that Cx before Nx is possible.
UT112,Are there different words for mother’s brother and father’s brother?,1,Riese et al. 2017:70-72; Riese et al. 2014,"UT112-1, UT112-2, UT112-3",
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,Riese et al. 2017:70-72; Riese et al. 2014,"UT113-1, UT113-2, UT113-3, UT113-4, UT113-5",
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,1,Riese et al. 2017:243; Riese et al. 2014,"UT114-1, UT114-2, UT114-3, UT114-4",
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Riese et al. 2014,,"The same word is used in both cases, e.g. шокшо игечe [ʃokʃo iget͡ɕe] 'hot weather' - шокшо вӱд [ʃokʃo vyd] ‘hot water’; йӱштӧ игечe [jyʃtø iget͡ɕe] ‘cold weather’ - йӱштӧ вӱд [jyʃtø vyd] ‘cold water’."
UT116,Is there contrastive length for consonants?,0,Riese et al. 2019:24,,"Geminate (long) consonants only occur at morpheme boundaries. Minimal pairs are possible: ныллымше [nəlːəmʃe] ‘fortieth’ (← ныл [nəl] ‘four’ + лу [lu] ‘ten’ + ORD), нылымше [nələmʃe] ‘fourth’ (← ныл [nəl] ‘four’ + ORD)."
UT117,Is there contrastive length for vowels?,0,Riese et al. 2019:23,,"Reduced vowels are shorter than full vowels, but there is a clear qualitative difference between non-reduced and reduced vowels, so it cannot be reasoned that vowel length alone is distinctive."
UT118,Is there a contrast between short and long unstressed vowels?,0,Riese et al. 2019:23,,No distinctive vowel length at all.
UT119,Is there a contrast in the length of geminate consonants?,0,Jeremy Bradley (p.c. 2020),,
UT120,Are there more than two phonological quantities?,0,Riese et al. 2019:23,,
UT121,Are there extralong syllables?,0,Riese et al. 2019:23,,No distinctive vowel length at all; geminate consonants only at morpheme boundaries.
UT122,Is the main foot structure trochaic?,0,Jeremy Bradley (p.c. 2020),,
UT123,Is there lexically distinctive word stress?,1,"Riese et al. 2019:23, 32","UT123-1, UT123-2","However, as final unstressed [e] is reduced, it could be argued that the qualitative difference of this vowel is critical to the phonological disctinction between these words."
UT124,Is there morphologically conditioned stress?,1,Riese et al. 2019:31-34,,"In Meadow Mari, suffixes containing full vowels are stressed, but this is in line with the regular stress rules."
UT125,Is there fixed primary stress?,0,Riese et al. 2019:31-34,,"The last full vowel (i.e. anything but [ə] or unstressed/reduced final [e], [o], [ø]) is stressed: пеледыш [peˈledəʃ] ‘flower’, пеледеш [peleˈdeʃ] ‘blossoms’."
UT126,Is there stress in heavy syllables?,1,Riese et al. 2019:31-34,UT126,Syllable structure has no transparent effect on where stress falls.
UT127,Is there non-initial primary stress?,1,Riese et al. 2019:31-34,"UT127-1, UT127-2","The last full vowel (i.e. anything but [ə] or unstressed/reduced final [e], [o], [ø]) is stressed."
UT128,Is there palatal vowel harmony?,1,Riese et al. 2019:36-38,"UT128-1, UT128-2, UT128-3, Ut128-4",Only for labial vowels.
UT129,Is there velar vowel harmony?,0,Riese et al. 2019:36-38,,
UT130,Is there labial vowel harmony?,1,Riese et al. 2019:36-38,"UT130-1, UT130-2, UT130-3, UT130-4",Further palato-velar distinction for labial vowels.
UT131,Are there closing diphthongs?,0,Riese et al. 2019:23,,
UT132,Are there opening diphthongs?,0,Riese et al. 2019:23,,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Riese et al. 2019:23,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,1,"Riese et al. 2019:23, 32","UT134-1, UT134-2",
UT135,Is there a high front rounded vowel /y/?,1,Riese et al. 2019:23,UT135,
UT136,Is there a mid-high front rounded vowel /ø/?,1,Riese et al. 2019:23,UT136,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Riese et al. 2019:23,,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Riese et al. 2019:23; Krasnova et al. 2017: 44,,"There is however a “mid unrounded central vowel, reduced vowel similarly to the English reduced vowel that is denoted in different ways (alone, lemon, heaven)”, e.g. пыл [pəl] ‘cloud’."
UT139,Is there a low back rounded vowel /ɒ/?,0,Riese et al. 2019:23,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,0,Riese et al. 2019:23,,
UT141,Are there word-initial consonant clusters?,1,Riese et al. 2014,UT141,Fairly rare and the effect of a fairly recent loss of reduced vowels that did not happen in all varieties of Mari.
UT142,Are there word-internal consonant clusters in the syllable onset?,1,Riese et al. 2019:58,UT142,
UT143,Are there consonant clusters in the syllable coda?,1,Riese et al. 2014,UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Riese et al. 2014,UT144,
UT145,Are there word-final clusters of three or more consonants?,0,Jeremy Bradley (p.c. 2020),,
UT146,Are there palatalized alveolar consonants?,0,Riese et al. 2019:22,,The palatal consonants [ʎ] and [ɲ] are frequently mislabelled as palatalized. Palatalized pronunciation under Russian influence and especially in Russian loan words does happen.
UT147,Are there palatalized labial and velar consonants?,0,Riese et al. 2019:22,,Only in Russian loan words among contemporary speakers.
UT148,Is there a palatal stop?,0,Riese et al. 2019:22,,
UT149,Is there a palatal nasal /ɲ/?,1,Riese et al. 2019:22,UT149,
UT150,Is there a palatal lateral /ʎ/?,1,Riese et al. 2019:22,UT150,
UT151,Is there a velar nasal /ŋ/?,1,Jeremy Bradley (p.c. 2020),UT151,
UT152,Is there an alveolar affricate /t͡s/?,0,Riese et al. 2017:23,,Only in Russian loan words.
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Riese et al. 2019:22,,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Riese et al. 2019:22,UT154,
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Riese et al. 2019:24,,"Historically as allophones of the fricatives /β/, /γ/, /δ/ after homorganic nasals, i.e.: [mb], [ŋg], [nd]. “The historical pronunciation of these sounds is encountered only rarely today: [β] has generally been replaced by [v]; /b/ is perceived as an independent phoneme; the sounds [γ] and [δ] are mainly realized as [g] and [d] in all positions.”"
UT156,Is there a glottal stop /ʔ/?,0,Riese et al. 2019:22,UT153,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Riese et al. 2019:22,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Riese et al. 2019:22; Riese et al. 2017:26,,"It is uncommon, but not excluded. There are some words of proto-Uralic origin that have an initial r. There are some varieties in which intial r is preceded by prothetic ə, however, presumably under Chuvash indluence."
UT159,Is there a laryngeal fricative /h/?,0,Riese et al. 2019:22,,
UT160,Is there a voiced velar fricative /ɣ/?,0,Riese et al. 2019:24,,"“Historically, Mari had three voiced fricative phonemes: /β/, /γ/ and /δ/ […] The historical pronunciation of these sounds is encountered only rarely today: […] the sounds [γ] and [δ] are mainly realized as [g] and [d] in all positions.”"
UT161,Is there a voiceless velar fricative /x/?,0,Riese et al. 2019:24; Riese et al. 2017:23,,Only in Russian loan words.
UT162,Is there a voiced dental fricative /ð/?,0,Riese et al. 2019:24,,"“Historically, Mari had three voiced fricative phonemes: /β/, /γ/ and /δ/ […] The historical pronunciation of these sounds is encountered only rarely today: […] the sounds [γ] and [δ] are mainly realized as [g] and [d] in all positions.”"
UT163,Is there a labio-velar approximant /w/?,1,Riese et al. 2019:24,,"“Historically, Mari had three voiced fricative phonemes: /β/, /γ/ and /δ/ […] The historical pronunciation of these sounds is encountered only rarely today: [β] has generally been replaced by [v]”."
UT164,Is there a voiceless labiodental fricative /f/?,0,Riese et al. 2017:21,,Only in Russian loan words.
UT165,Is there radical qualitative consonant gradation?,0,Riese et al. 2019:34,,"There is alternation between [t] and [d] (not marked in orthography; д is used regardless of pronunciation) that has been said to resembles consonant gradation or final consonant devoicing: кид [kit] ‘hand’, кит-лан [kit-lɑn] hand-PX1PL, кид-ем [kid-em] hand-PX1SG. However, the historical explanation here is that [d] was spirantized to [ð] between vowels, and was later replaced by [d] under Russian influence."
UT166,Is there quantitative consonant gradation?,0,Jeremy Bradley (p.c. 2020),,
