ID,Name,North.Karelian,Source,Example,Comment
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Olga Melentjeva (p.c. 2019),,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Olga Melentjeva (p.c. 2019),UT029,Potential is not used very often.
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Olga Melentjeva (p.c. 2019),,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Olga Melentjeva (p.c. 2019),UT031,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Olga Melentjeva (p.c. 2019),,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Olga Melentjeva (p.c. 2019),,"Typically, the conditional mood is used. "
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Olga Melentjeva (p.c. 2019),,
UT035,Is there a reflexive conjugation?,0,Olga Melentjeva (p.c. 2019),,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Olga Melentjeva (p.c. 2019),,
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Olga Melentjeva (p.c. 2019),UT200,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Olga Melentjeva (p.c. 2019),UT040,
UT201,Can an infinitival verb form be used in a directive function?,0,Olga Melentjeva (p.c. 2019),,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Olga Melentjeva (p.c. 2019),,
UT044,Are there sentences without overt verbal arguments?,1,Olga Melentjeva (p.c. 2019),UT044,
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,1,Olga Melentjeva (p.c. 2019),UT045,
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Olga Melentjeva (p.c. 2019),UT202,
UT047,Can locative constructions commonly occur without a copula?,0,Olga Melentjeva (p.c. 2019),,"It is common to use the copula, e.g., Mie ole-n pihalla (I be-1SG outside) 'I'm outside'."
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Zaikov 2013:223,"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,0,Olga Melentjeva (p.c. 2019),,
UT050,Can standard negation be asymmetric in the present tense?,1,Olga Melentjeva (p.c. 2019),UT050,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Olga Melentjeva (p.c. 2019),,
UT052,Is there a special negator that combines with non-finite forms?,0,Olga Melentjeva (p.c. 2019),,
UT053,Are there special negative non-finite forms?,1,Zaikov 2013:199,UT053,
UT054,Is there an impersonal passive construction?,1,Olga Melentjeva (p.c. 2019),UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Zaikov 2013:200,UT055,
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Olga Melentjeva (p.c. 2019),,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Olga Melentjeva (p.c. 2019),,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",0,Olga Melentjeva (p.c. 2019),,
UT059,Is there a future participle?,0,Olga Melentjeva (p.c. 2019),,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Olga Melentjeva (p.c. 2019),,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,1,Olga Melentjeva (p.c. 2019),UT062,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Zaikov 2013:105-106,,"There are separate action nominalizations, e.g., šynny-ntä (< šyntyö) 'birth', juo-mini (< juuvva) 'drinking'."
