ID,Feature,Value,Source,Comment,Example
GB160,Are elements apart from verbs or nouns reduplicated?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB165,Is there a productive morphological trial marker on nouns?,0,Sarhimaa 2022:277,,
GB166,Is there a productive morphological paucal marker on nouns?,0,Sarhimaa 2022:277,,
GB167,Is there a logophoric pronoun?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB170,Can an adnominal property word agree with the noun in noun class/gender?,0,Zaikov 2013:in passim,,
GB171,Can an adnominal demonstrative agree with the noun in noun class/gender?,0,Zaikov 2013:in passim,,
GB172,Can an article agree with the noun in noun class/gender?,0,Zaikov 2013:in passim,,
GB177,"Can the verb carry a marker of animacy of argument, unrelated to any noun class/gender of the argument visible in the NP domain?",0,Zaikov 2013:in passim,,
GB184,Can an adnominal property word agree with the noun in number?,1,"Zaikov 2013:71, 74; Sarhimaa 2022:286",,GB044
GB185,Can an adnominal demonstrative agree with the noun in number?,1,Zaikov 2013:126-127; Sarhimaa 2022:286,,"GB185-1, GB185-2"
GB186,Can an article agree with the noun in number?,0,Zaikov 2013:in passim,There are no articles.,
GB187,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,1,Zaikov 2013:104,,"GB187-1, GB187-2, GB187-3"
GB188,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,0,Zaikov 2013:104-108,,
GB192,Is there a noun class/gender system where a noun’s phonological properties are a factor in class assignment?,0,Zaikov 2013:in passim,,
GB193,What is the order of adnominal property word and noun?,1,Zaikov 2013:112; Sarhimaa 2022:285,Adnominal property word comes before a noun.,"GB044, GB193"
GB196,Is there a masculine/feminine distinction in phonologically independent second person pronouns?,0,Zaikov 2013:in passim,,
GB197,Is there a masculine/feminine distinction in phonologically independent first person pronouns?,0,Zaikov 2013:in passim,,
GB198,Can an adnominal numeral agree with the noun in noun class/gender?,0,Zaikov 2013:in passim,,
GB203,What is the order of the adnominal collective universal quantifier (‘all’) and the noun?,1,Zaikov 2013:134; Torikka 2009:kaikki,,GB203
GB204,Do collective (‘all’) and distributive (‘every’) universal quantifiers differ in their forms or their syntactic positions?,1,Zaikov 2013:134,,"GB204-1, GB204-2"
GB250,Can predicative possession be expressed with a transitive ‘habeo’ verb?,0,Torikka 2009:omistoa,,
GB252,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?,1,Zaikov 2013:96-97,The syncretic adessive-allative case has both locational and dative functions.,GB252 
GB253,Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?,0,Zaikov 2013:96-97,,
GB254,Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB256,Can predicative possession be expressed with a comitative/conjunctional construction?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB257,Can polar interrogation be marked by intonation only?,?,Atte Huhtala (p.c. 2026),Studies and descriptions not sufficient.,
GB260,Can polar interrogation be indicated by a special word order?,1,Atte Huhtala (p.c. 2026),At least sporadic examples can be found.,"GB260-1, GB260-2"
GB262,Is there a clause-initial polar interrogative particle?,0,Zaikov 2013:226,,
GB263,Is there a clause-final polar interrogative particle?,0,Zaikov 2013:226,,
GB264,Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?,1,Zaikov 2013:226,,GB264
GB265,"Is there a comparative construction that includes a form that elsewhere means ‘surpass, exceed’?",0,Zaikov 2013:114-115,,
GB266,Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?,0,Zaikov 2013:114-115,,
GB270,Can comparatives be expressed using two conjoined clauses?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB273,Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a ‘surpass/exceed’ meaning?,1,Zaikov 2013:114-115,,GB273
GB275,Is there a bound comparative degree marker on the property word in a comparative construction?,1,Zaikov 2013:114; Sarhimaa 2022:278,,GB275
GB276,Is there a non-bound comparative degree marker modifying the property word in a comparative construction?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB285,Can polar interrogation be marked by a question particle and verbal morphology?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB286,Can polar interrogation be indicated by overt verbal morphology only?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB291,Can polar interrogation be marked by tone?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
