ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB070-3,ɛhčam āĺgi vozzi͔ gruz pohci͔guim,,ɛhč-am āĺg-i vozz-i͔ gruz pohc-i͔guim,father.NOM.SG-POSS.1 start-PST.3SG transport-INF cargo.ACC/GEN.SG reindeer-COM.PL,My father started transporting cargo on reindeers,Zaikov 1987:124
GB071-1,mij jīĺim xortsūлi͔st,,mij jīĺ-im xort-sūл-i͔st,1PL.NOM live-PRS.1PL Khort-island-LOC.SG,We lived on Khort island,Zaikov 1987:121
GB071-2,vuaŕd˙ mū taл̄va,,vuaŕd˙ mū taл̄v-a,wait.IMP.SG 1SG.ACC/GEN winter-DAT.SG,Wait for me in the winter,Zaikov 1987:121
GB070-3,monn vīgam sun˙n˙e kuɛĺ,,monn vīg-am sun˙n˙-e kuɛĺ,1SG.NOM carry-PRS.1SG 3SG-DAT fish.ACC/GEN.SG,I'll carry him the fish,Zaikov 1987:121
GB072,i ćēĺka͕t ti̮n nijdžɛ,,i ćēĺk-a͕t ti̮n nijd-ž-ɛ,and tell-PRS.3PL that.ACC/GEN girl-DIM-DAT.SG,And [they] tell to that girl,Zaikov 1987:121
GB073,on˙d˙ mun˙n˙e tɛɳgi,,on˙d˙ mun˙n˙-e tɛɳg-i,give.IMP.SG 1SG-DAT money-ACC/GEN.PL,Give me [some] money,Zaikov 1987:121
GB074,maɳɳa ōd ɛ̄ǵǵ,,maɳɳa ōd ɛ̄ǵǵ,after new year.GEN.SG,after the new year,Kert and Zaikov 1988:18
GB075,kārri ɛлл ṕē₍et,,kārri ɛлл ṕē₍-et,wooden.plate.GEN.SG on put-PRS.3PL,[One] put[s] [a fish] on a wooden plate,Kert and Zaikov 1988:9
GB080,kŭarč́im,,kŭar-č́-im,sew-COND-1SG,I would sew,Kert and Zaikov 1988:152
GB082,vā͕nʒam : vā͕nʒak : va͕n̄˙ćep˙,,vā͕nʒ-am : vā͕nʒ-ak : va͕n̄˙ć-ep˙,walk-PRS.1SG : walk-PRS.2SG : walk-PRS.1PL,I walk : you walk : we walk,Zaikov 1987:141
GB083,va͕n̄˙ćim : va͕n̄˙ćik : vā͕nʒim,,va͕n̄˙ć-im : va͕n̄˙ć-i-k : vā͕nʒ-i-m,walk-PST.1SG : walk-PST.2SG : walk-PST.1PL,I walked : you walked : we walked,Zaikov 1987:141
GB089,mij suoллɛm,,mij suoлл-ɛ-m,1PL.NOM row-PST-1PL,We were rowing,Kert and Zaikov 1988:22
GB091,monn vui͔i̭nni͔m pobba,,monn vui͔i̭nn-i͔-m pobba,1SG.NOM see-PST-1SG bear.DIM.GEN.SG,I have seen a bear,Kert and Zaikov 1988:26
GB111,лŭŏhtti͔ : påi̭nikki,,лŭŏhtt-i͔ : påi̭n-ikki,chop-IMP.PL : get.up-IMP.PL,chop! : get up!,Zaikov 1987:154-155
GB113,i͔št- > i̮štɛst-,,i͔št- > i̮št-ɛst-,,to sit down > to set down,Zaikov 1987:120; Kert and Zaikov 1988:76
