ID,Feature,Value,Source,Comment,Example
GB114,Is there a phonologically bound reflexive marker on the verb?,1,Kert 1987,,"GB114-1, GB114-2"
GB115,Is there a phonologically bound reciprocal marker on the verb?,1,Kert 1987,There is a polysemy of reflexive and reciprocal meaning.,"GB115-1, GB115-2"
GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",0,Kert 1971:178-209; Rießler 2022:227-231,,
GB117,Is there a copula for predicate nominals?,1,Kert 1971:257-258,,"GB117-1, GB117-2"
GB118,Are there serial verb constructions?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB119,Can mood be marked by an inflecting word (‘auxiliary verb’)?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB120,Can aspect be marked by an inflecting word (‘auxiliary verb’)?,1,Kosheleva 2024,,GB120
GB121,Can tense be marked by an inflecting word (‘auxiliary verb’)?,1,Kosheleva 2024,,"GB120, GB121"
GB122,Is verb compounding a regular process?,0,Rießler 2022:232,,
GB123,Are there verb-adjunct (aka light-verb) constructions?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB126,Is there an existential verb?,0,Kuruč 1985:in passim,,
GB127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. ‘to lie’ vs. ‘to stand’)?,0,Kuruč 1985:in passim,,
GB129,Is there a notably small number of verb roots in the language?,0,Kuruč 1985:in passim,,
GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,Kert 1971:282,,GB130
GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,0,Rießler 2022:232-233,,
GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,1,Rießler 2022:232-233,,GB132
GB133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,0,Rießler 2022:232-233,,
GB134,Is the order of constituents the same in main and subordinate clauses?,1,Kert 1971:281-291,,GB134
GB135,Do clausal objects usually occur in the same position as nominal objects?,1,Kert 1971:281-292,,GB135
GB136,"Is the order of core argument (i.e. S, A, and P) constituents fixed?",0,Rießler 2022:232-233,,
GB137,Can standard negation be marked clause-finally?,0,Potseluev 2024,,
GB138,Can standard negation be marked clause-initially?,0,Potseluev 2024,The standard negation marker only occurs clause-initially when a subject is omitted.,
GB139,Is there a difference between imperative (prohibitive) and declarative negation constructions?,1,Potseluev 2024,,"GB139-1, GB139-2"
GB140,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?",1,Potseluev 2024,,"GB140-1, GB140-2, GB140-3"
GB146,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB147,Is there a morphological passive marked on the lexical verb?,1,Kert 1987,,GB147
GB148,Is there a morphological antipassive marked on the lexical verb?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB149,Is there a morphologically marked inverse on verbs?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB150,Is there clause chaining?,0,Kert 1971:287-291,,
GB151,Is there an overt verb marker dedicated to signaling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (‘switch reference’)?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB152,Is there a morphologically marked distinction between simultaneous and sequential clauses?,0,Kert 1971:in passim; Rießler 2022:in passim,"There is a special converb to mark simultaneous action, but its use is not obligatory.",
GB155,Are causatives formed by affixes or clitics on verbs?,1,Kert 1987,,"GB155-1, GB155-2"
GB156,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for ‘to say’?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB158,Are verbs reduplicated?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB159,Are nouns reduplicated?,0,Kert 1971:143-156; Rießler 2022:225-226,,
